sale_id;date;time;store_id;store_type;zone;surface;open_to_clients_hours;open_days;foot_traffic_by_hour;employee_id;monthly_salary;hire_date;job_role;average_day_time_backoffice;average_day_time_frontoffice;customer_id;genre;age;has_loyalty_card;loyalty_points_used;loyalty_points_earned;product_id;price_sold;base_price;brand;category;model;size;color;is_best_seller
V1099907330;2024-01-09;17:52;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0003;2100;2020-09-04;Salesforce;0,13;0,87;C0078;F;34;False;0;0;P040;145,95;145,95;New Balance;Running;Air;43;Deep Purple;False
V7850494547;2024-01-23;14:59;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0002;2900;2015-10-11;Salesforce;0,05;0,95;C0253;F;31;True;0;5;P030;59,75;59,75;New Balance;Casual;Elite;30;Sunny Yellow;True
V7850494547;2024-01-23;14:59;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0002;2900;2015-10-11;Salesforce;0,05;0,95;C0253;F;31;True;0;5;G030;10,0;10,0;Bonnet;Bonnet;Bonnet;S;None;False
V6596534904;2024-01-14;13:37;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0002;2900;2015-10-11;Salesforce;0,05;0,95;C0280;M;50;True;0;5;P030;59,75;59,75;New Balance;Casual;Elite;30;Sunny Yellow;True
V6596534904;2024-01-14;13:37;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0002;2900;2015-10-11;Salesforce;0,05;0,95;C0280;M;50;True;0;5;G030;20,0;20,0;Lunettes;Lunettes;Lunettes;XS;None;False
V6596534904;2024-01-14;13:37;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0002;2900;2015-10-11;Salesforce;0,05;0,95;C0280;M;50;True;0;5;G030;40,0;40,0;Lacets;Lacets;Lacets;M;None;False
V1032090733;2024-01-09;12:16;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0002;2900;2015-10-11;Salesforce;0,05;0,95;C0050;F;23;True;0;5;P030;59,75;59,75;New Balance;Casual;Elite;30;Sunny Yellow;True
V9629569670;2024-01-27;13:03;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0004;2600;2006-01-09;Manager;0,21;0,79;C0044;F;26;True;0;5;P030;59,75;59,75;New Balance;Casual;Elite;30;Sunny Yellow;True
V7307185757;2024-01-24;11:36;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0002;2900;2015-10-11;Salesforce;0,05;0,95;C0274;M;36;True;30;5;P030;56,75;59,75;New Balance;Casual;Elite;30;Sunny Yellow;True
V7307185757;2024-01-24;11:36;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0002;2900;2015-10-11;Salesforce;0,05;0,95;C0274;M;36;True;30;5;G030;30,0;30,0;Tee-short;Tee-short;Tee-short;S;None;False
V1952112868;2024-01-31;13:45;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0005;2800;2017-07-01;Salesforce;0,05;0,95;C0038;M;33;True;0;11;P037;114,45;114,45;New Balance;Running;Elite;41;Premium Black;False
V8960922251;2024-01-02;17:23;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0005;2800;2017-07-01;Salesforce;0,05;0,95;C0117;F;48;True;0;5;P030;59,75;59,75;New Balance;Casual;Elite;30;Sunny Yellow;True
V3912100038;2024-01-08;16:09;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0003;2100;2020-09-04;Salesforce;0,13;0,87;C0026;M;50;True;0;5;P030;59,75;59,75;New Balance;Casual;Elite;30;Sunny Yellow;True
V5698988977;2024-01-04;18:16;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0005;2800;2017-07-01;Salesforce;0,05;0,95;C0135;M;40;True;0;5;P030;59,75;59,75;New Balance;Casual;Elite;30;Sunny Yellow;True
V5698988977;2024-01-04;18:16;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0005;2800;2017-07-01;Salesforce;0,05;0,95;C0135;M;40;True;0;5;G030;40,0;40,0;Bonnet;Bonnet;Bonnet;S;None;False
V6092297865;2024-01-29;11:20;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0003;2100;2020-09-04;Salesforce;0,13;0,87;C0194;M;49;True;0;14;P040;145,95;145,95;New Balance;Running;Air;43;Deep Purple;False
V1017869024;2024-01-12;09:16;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0005;2800;2017-07-01;Salesforce;0,05;0,95;C0272;M;50;True;40;5;P030;55,75;59,75;New Balance;Casual;Elite;30;Sunny Yellow;True
V6583411709;2024-01-10;16:18;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0002;2900;2015-10-11;Salesforce;0,05;0,95;C0227;F;42;True;0;5;P030;59,75;59,75;New Balance;Casual;Elite;30;Sunny Yellow;True
V5074566652;2024-01-03;13:39;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0002;2900;2015-10-11;Salesforce;0,05;0,95;C0090;M;49;False;0;0;P030;59,75;59,75;New Balance;Casual;Elite;30;Sunny Yellow;True
V5074566652;2024-01-03;13:39;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0002;2900;2015-10-11;Salesforce;0,05;0,95;C0090;M;49;False;0;0;G030;40,0;40,0;Bonnet;Bonnet;Bonnet;M;None;False
V5074566652;2024-01-03;13:39;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0002;2900;2015-10-11;Salesforce;0,05;0,95;C0090;M;49;False;0;0;G030;20,0;20,0;Lunettes;Lunettes;Lunettes;XS;None;False
V7458333412;2024-01-26;12:20;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0001;2000;2022-07-17;Salesforce;0,12;0,88;C0029;M;46;True;0;5;P030;59,75;59,75;New Balance;Casual;Elite;30;Sunny Yellow;True
V1260263901;2024-01-29;10:29;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0005;2800;2017-07-01;Salesforce;0,05;0,95;C0234;F;60;True;0;15;P031;126,25;152,25;New Balance;Casual;Flex;42;Brown Bear;False
V5433000362;2024-01-10;11:28;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0002;2900;2015-10-11;Salesforce;0,05;0,95;C0297;F;48;True;0;5;P030;59,75;59,75;New Balance;Casual;Elite;30;Sunny Yellow;True
V7238986363;2024-01-16;11:20;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0005;2800;2017-07-01;Salesforce;0,05;0,95;C0215;F;39;True;0;14;P040;145,95;145,95;New Balance;Running;Air;43;Deep Purple;False
V3678948224;2024-01-03;14:07;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0002;2900;2015-10-11;Salesforce;0,05;0,95;C0292;M;37;False;0;0;P010;152,25;152,25;New Balance;Running;Flex;42;Red Blood;False
V6009357129;2024-01-20;17:46;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0005;2800;2017-07-01;Salesforce;0,05;0,95;C0153;F;47;True;20;12;P034;123,20999999999998;166,95;New Balance;Basketball;Zoom;39;Premium Black;False
V6009357129;2024-01-20;17:46;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0005;2800;2017-07-01;Salesforce;0,05;0,95;C0153;F;47;True;20;12;G034;30,0;30,0;Tee-short;Tee-short;Tee-short;L;None;False
V5807750411;2024-01-23;09:23;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0005;2800;2017-07-01;Salesforce;0,05;0,95;C0066;M;35;True;0;14;P040;145,95;145,95;New Balance;Running;Air;43;Deep Purple;False
V7059085893;2024-01-11;18:26;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0003;2100;2020-09-04;Salesforce;0,13;0,87;C0291;F;48;False;0;0;P034;158,6;166,95;New Balance;Basketball;Zoom;39;Premium Black;False
V1284091253;2024-01-05;14:00;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0002;2900;2015-10-11;Salesforce;0,05;0,95;C0253;F;31;True;0;5;P030;59,75;59,75;New Balance;Casual;Elite;30;Sunny Yellow;True
V4444112726;2024-01-30;15:12;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0002;2900;2015-10-11;Salesforce;0,05;0,95;C0263;M;38;False;0;0;P030;59,75;59,75;New Balance;Casual;Elite;30;Sunny Yellow;True
V4444112726;2024-01-30;15:12;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0002;2900;2015-10-11;Salesforce;0,05;0,95;C0263;M;38;False;0;0;G030;40,0;40,0;Lacets;Lacets;Lacets;S;None;False
V3503798497;2024-01-24;10:17;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0004;2600;2006-01-09;Manager;0,21;0,79;C0005;F;28;True;0;5;P030;48,75;59,75;New Balance;Casual;Elite;30;Sunny Yellow;True
V5807896863;2024-01-11;13:16;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0001;2000;2022-07-17;Salesforce;0,12;0,88;C0209;M;36;False;0;0;P040;145,95;145,95;New Balance;Running;Air;43;Deep Purple;False
V5914977098;2024-01-23;10:26;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0003;2100;2020-09-04;Salesforce;0,13;0,87;C0294;F;43;True;0;14;P040;145,95;145,95;New Balance;Running;Air;43;Deep Purple;False
V5069846236;2024-01-23;15:47;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0003;2100;2020-09-04;Salesforce;0,13;0,87;C0136;M;52;True;10;15;P010;151,25;152,25;New Balance;Running;Flex;42;Red Blood;False
V5650358627;2024-01-17;14:24;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0002;2900;2015-10-11;Salesforce;0,05;0,95;C0096;M;58;False;0;0;P030;39,75;59,75;New Balance;Casual;Elite;30;Sunny Yellow;True
V5650358627;2024-01-17;14:24;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0002;2900;2015-10-11;Salesforce;0,05;0,95;C0096;M;58;False;0;0;G030;10,0;10,0;Bonnet;Bonnet;Bonnet;M;None;False
V5963458412;2024-01-18;13:59;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0002;2900;2015-10-11;Salesforce;0,05;0,95;C0263;M;38;False;0;0;P034;166,95;166,95;New Balance;Basketball;Zoom;39;Premium Black;False
V1913025212;2024-01-13;13:55;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0002;2900;2015-10-11;Salesforce;0,05;0,95;C0208;F;40;True;0;5;P030;59,75;59,75;New Balance;Casual;Elite;30;Sunny Yellow;True
V3131812117;2024-01-19;17:01;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0004;2600;2006-01-09;Manager;0,21;0,79;C0282;M;48;False;0;0;P040;145,95;145,95;New Balance;Running;Air;43;Deep Purple;False
V5557926173;2024-01-12;12:37;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0002;2900;2015-10-11;Salesforce;0,05;0,95;C0093;M;33;False;0;0;P030;59,75;59,75;New Balance;Casual;Elite;30;Sunny Yellow;True
V5557926173;2024-01-12;12:37;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0002;2900;2015-10-11;Salesforce;0,05;0,95;C0093;M;33;False;0;0;G030;30,0;30,0;Tee-short;Tee-short;Tee-short;M;None;False
V3213547109;2024-01-15;10:11;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0003;2100;2020-09-04;Salesforce;0,13;0,87;C0077;F;61;True;0;14;P040;145,95;145,95;New Balance;Running;Air;43;Deep Purple;False
V3213547109;2024-01-15;10:11;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0003;2100;2020-09-04;Salesforce;0,13;0,87;C0077;F;61;True;0;14;G040;30,0;30,0;Lacets;Lacets;Lacets;L;None;False
V3096474932;2024-01-20;15:46;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0003;2100;2020-09-04;Salesforce;0,13;0,87;C0236;M;32;True;0;11;P037;114,45;114,45;New Balance;Running;Elite;41;Premium Black;False
V1687866949;2024-01-26;10:33;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0001;2000;2022-07-17;Salesforce;0,12;0,88;C0283;M;32;False;0;0;P034;166,95;166,95;New Balance;Basketball;Zoom;39;Premium Black;False
V2109665531;2024-01-26;09:12;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0004;2600;2006-01-09;Manager;0,21;0,79;C0020;F;38;False;0;0;P031;152,25;152,25;New Balance;Casual;Flex;42;Brown Bear;False
V2582861066;2024-01-01;09:41;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0004;2600;2006-01-09;Manager;0,21;0,79;C0242;F;38;True;0;15;P031;152,25;152,25;New Balance;Casual;Flex;42;Brown Bear;False
V4979578504;2024-01-04;11:08;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0001;2000;2022-07-17;Salesforce;0,12;0,88;C0145;M;43;True;0;5;P030;52,75;59,75;New Balance;Casual;Elite;30;Sunny Yellow;True
V4519914720;2024-01-20;17:49;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0001;2000;2022-07-17;Salesforce;0,12;0,88;C0226;F;36;True;0;11;P034;116,85999999999999;166,95;New Balance;Basketball;Zoom;39;Premium Black;False
V7395454675;2024-01-12;17:44;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0004;2600;2006-01-09;Manager;0,21;0,79;C0031;M;53;True;0;5;P030;59,75;59,75;New Balance;Casual;Elite;30;Sunny Yellow;True
V8875566456;2024-01-08;14:30;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0002;2900;2015-10-11;Salesforce;0,05;0,95;C0089;F;32;True;0;5;P030;59,75;59,75;New Balance;Casual;Elite;30;Sunny Yellow;True
V8875566456;2024-01-08;14:30;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0002;2900;2015-10-11;Salesforce;0,05;0,95;C0089;F;32;True;0;5;G030;10,0;10,0;Tee-short;Tee-short;Tee-short;S;None;False
V8989010772;2024-01-20;14:13;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0002;2900;2015-10-11;Salesforce;0,05;0,95;C0050;F;23;True;20;5;P030;57,75;59,75;New Balance;Casual;Elite;30;Sunny Yellow;True
V7312261060;2024-01-27;18:36;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0001;2000;2022-07-17;Salesforce;0,12;0,88;C0187;F;39;True;10;5;P030;58,75;59,75;New Balance;Casual;Elite;30;Sunny Yellow;True
V7518000421;2024-01-09;15:48;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0002;2900;2015-10-11;Salesforce;0,05;0,95;C0032;F;37;True;0;5;P030;48,75;59,75;New Balance;Casual;Elite;30;Sunny Yellow;True
V1911497468;2024-01-13;12:31;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0004;2600;2006-01-09;Manager;0,21;0,79;C0008;F;42;True;0;15;P031;152,25;152,25;New Balance;Casual;Flex;42;Brown Bear;False
V8470353261;2024-01-01;09:11;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0001;2000;2022-07-17;Salesforce;0,12;0,88;C0044;F;26;True;0;5;P030;59,75;59,75;New Balance;Casual;Elite;30;Sunny Yellow;True
V5312176068;2024-01-06;18:14;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0005;2800;2017-07-01;Salesforce;0,05;0,95;C0081;M;34;False;0;0;P010;152,25;152,25;New Balance;Running;Flex;42;Red Blood;False
V4192943825;2024-01-03;09:54;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0001;2000;2022-07-17;Salesforce;0,12;0,88;C0046;M;48;True;0;15;P031;152,25;152,25;New Balance;Casual;Flex;42;Brown Bear;False
V4192943825;2024-01-03;09:54;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0001;2000;2022-07-17;Salesforce;0,12;0,88;C0046;M;48;True;0;15;G031;10,0;10,0;Echarpe;Echarpe;Echarpe;S;None;False
V3385101281;2024-01-25;15:56;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0001;2000;2022-07-17;Salesforce;0,12;0,88;C0139;M;66;True;0;5;P030;59,75;59,75;New Balance;Casual;Elite;30;Sunny Yellow;True
V3097617685;2024-01-02;17:59;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0002;2900;2015-10-11;Salesforce;0,05;0,95;C0175;M;43;False;0;0;P030;59,75;59,75;New Balance;Casual;Elite;30;Sunny Yellow;True
V3097617685;2024-01-02;17:59;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0002;2900;2015-10-11;Salesforce;0,05;0,95;C0175;M;43;False;0;0;G030;30,0;30,0;Tee-short;Tee-short;Tee-short;S;None;False
V7816064456;2024-01-13;18:54;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0005;2800;2017-07-01;Salesforce;0,05;0,95;C0016;M;37;False;0;0;P034;166,95;166,95;New Balance;Basketball;Zoom;39;Premium Black;False
V2949672112;2024-01-13;09:01;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0001;2000;2022-07-17;Salesforce;0,12;0,88;C0161;M;34;False;0;0;P030;59,75;59,75;New Balance;Casual;Elite;30;Sunny Yellow;True
V1249170567;2024-01-29;18:12;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0001;2000;2022-07-17;Salesforce;0,12;0,88;C0166;F;33;True;0;15;P031;152,25;152,25;New Balance;Casual;Flex;42;Brown Bear;False
V5800747484;2024-01-22;14:56;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0002;2900;2015-10-11;Salesforce;0,05;0,95;C0125;F;42;True;0;5;P030;59,75;59,75;New Balance;Casual;Elite;30;Sunny Yellow;True
V5820029323;2024-01-10;17:31;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0002;2900;2015-10-11;Salesforce;0,05;0,95;C0199;M;48;True;0;5;P030;59,75;59,75;New Balance;Casual;Elite;30;Sunny Yellow;True
V5820029323;2024-01-10;17:31;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0002;2900;2015-10-11;Salesforce;0,05;0,95;C0199;M;48;True;0;5;G030;30,0;30,0;Lacets;Lacets;Lacets;S;None;False
V3204299652;2024-01-08;16:33;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0002;2900;2015-10-11;Salesforce;0,05;0,95;C0103;F;41;False;0;0;P030;59,75;59,75;New Balance;Casual;Elite;30;Sunny Yellow;True
V9997722797;2024-01-22;12:51;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0002;2900;2015-10-11;Salesforce;0,05;0,95;C0177;F;30;False;0;0;P030;59,75;59,75;New Balance;Casual;Elite;30;Sunny Yellow;True
V6667652671;2024-01-24;13:49;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0003;2100;2020-09-04;Salesforce;0,13;0,87;C0267;M;50;True;0;13;P035;101,44999999999999;135,45;New Balance;Basketball;Zoom;37;Pink;False
V6667652671;2024-01-24;13:49;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0003;2100;2020-09-04;Salesforce;0,13;0,87;C0267;M;50;True;0;13;G035;10,0;10,0;Tee-short;Tee-short;Tee-short;XS;None;False
V1471218330;2024-01-25;14:36;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0005;2800;2017-07-01;Salesforce;0,05;0,95;C0197;F;29;True;0;13;P035;135,45;135,45;New Balance;Basketball;Zoom;37;Pink;False
V5806719527;2024-01-29;14:21;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0003;2100;2020-09-04;Salesforce;0,13;0,87;C0114;F;52;False;0;0;P034;166,95;166,95;New Balance;Basketball;Zoom;39;Premium Black;False
V5643870608;2024-01-20;12:58;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0002;2900;2015-10-11;Salesforce;0,05;0,95;C0087;F;63;True;0;5;P030;59,75;59,75;New Balance;Casual;Elite;30;Sunny Yellow;True
V5643870608;2024-01-20;12:58;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0002;2900;2015-10-11;Salesforce;0,05;0,95;C0087;F;63;True;0;5;G030;10,0;10,0;Lunettes;Lunettes;Lunettes;M;None;False
V9701084801;2024-01-20;18:47;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0003;2100;2020-09-04;Salesforce;0,13;0,87;C0270;M;34;True;0;5;P030;59,75;59,75;New Balance;Casual;Elite;30;Sunny Yellow;True
V2431573917;2024-01-31;18:39;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0002;2900;2015-10-11;Salesforce;0,05;0,95;C0066;M;35;True;0;11;P037;114,45;114,45;New Balance;Running;Elite;41;Premium Black;False
V1640132978;2024-01-01;15:32;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0002;2900;2015-10-11;Salesforce;0,05;0,95;C0232;F;44;False;0;0;P030;59,75;59,75;New Balance;Casual;Elite;30;Sunny Yellow;True
V1640132978;2024-01-01;15:32;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0002;2900;2015-10-11;Salesforce;0,05;0,95;C0232;F;44;False;0;0;G030;20,0;20,0;Bonnet;Bonnet;Bonnet;XL;None;False
V8540245743;2024-01-27;09:28;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0001;2000;2022-07-17;Salesforce;0,12;0,88;C0199;M;48;True;0;15;P031;152,25;152,25;New Balance;Casual;Flex;42;Brown Bear;False
V7456702096;2024-01-13;14:11;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0002;2900;2015-10-11;Salesforce;0,05;0,95;C0137;M;32;True;0;5;P030;59,75;59,75;New Balance;Casual;Elite;30;Sunny Yellow;True
V3035122896;2024-01-08;14:49;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0002;2900;2015-10-11;Salesforce;0,05;0,95;C0283;M;32;False;0;0;P030;59,75;59,75;New Balance;Casual;Elite;30;Sunny Yellow;True
V6249433769;2024-01-22;12:20;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0001;2000;2022-07-17;Salesforce;0,12;0,88;C0077;F;61;True;0;15;P010;152,25;152,25;New Balance;Running;Flex;42;Red Blood;False
