year_month;store_id;rent_month;service_charges;utilities;cleaning;insurance;maintenance;software_it;security;gross_payroll;employer_contrib;payment_fees;local_marketing;shrinkage;cfe_month;loyalty_future_cost;loyalty_discount_ttc;total_store_cost;ca_ttc;ca_ht;nb_lines
2024-10;S02;3589,64;430,76;324,76;140,85;105,35;65,35;210,3;120,3;8738;2446,55;138,51;152,75;124,38;73,58;130,63;222;16791,71;26185,75;21821,5;206
2024-11;S02;3589,64;430,76;324,76;140,85;105,35;65,35;210,3;120,3;8738;2446,55;152,4;168,06;136,85;73,58;149,02;152,2;16851,77;28811,1;24009,26;212
2024-12;S02;3589,64;430,76;370,23;140,85;105,35;65,35;210,3;120,3;8738;2446,55;180,61;199,18;162,19;73,58;173,99;224,5;17006,88;34144,87;28454,15;253
2024-01;S03;2436,64;292,4;207,78;115,35;101,06;54,85;201,3;111,3;12621;3948,62;111,66;186,76;115,17;72,75;97,52;232,5;20674,16;18675,8;15563,31;118
2024-02;S03;2436,64;292,4;207,78;115,35;101,06;54,85;201,3;111,3;12621;3948,62;113,1;189,17;116,65;72,75;95,85;143,4;20677,82;18916,83;15764,11;118
2024-03;S03;2436,64;292,4;182,26;115,35;101,06;54,85;201,3;111,3;12621;3948,62;127,79;213,75;131,81;72,75;108,32;179;20719,2;21374,98;17812,57;142
2024-04;S03;2436,64;292,4;182,26;115,35;101,06;54,85;201,3;111,3;12621;3948,62;150,47;251,67;155,2;72,75;141;159,1;20835,87;25166,98;20972,61;176
2024-05;S03;2436,64;292,4;182,26;115,35;101,06;54,85;201,3;111,3;12621;3948,62;133,64;223,54;137,85;72,75;120,53;295,3;20753,09;22353,4;18627,93;161
2024-06;S03;2436,64;292,4;196,84;115,35;101,06;54,85;201,3;111,3;12621;3948,62;123,18;206,03;127,05;72,75;121,39;130,1;20729,76;20603,21;17169,42;137
2024-07;S03;2436,64;292,4;196,84;115,35;101,06;54,85;201,3;111,3;12621;3948,62;136,06;227,57;140,33;72,75;121,93;169,2;20778;22756,68;18964,01;152
2024-08;S03;2436,64;292,4;196,84;115,35;101,06;54,85;201,3;111,3;12621;3948,62;137,64;230,21;141,97;72,75;128,6;139,9;20790,53;23021,28;19184,52;147
2024-09;S03;2436,64;292,4;182,26;115,35;101,06;54,85;201,3;111,3;12621;3948,62;144,84;242,26;149,4;72,75;131;219,4;20805,03;24226,15;20188,62;157
2024-10;S03;2436,64;292,4;182,26;115,35;101,06;54,85;201,3;111,3;12621;3948,62;179,84;300,8;185,5;72,75;167,28;143,6;20970,95;30080,12;25066,9;196
2024-11;S03;2436,64;292,4;182,26;115,35;101,06;54,85;201,3;111,3;12621;3948,62;172,32;288,23;177,74;72,75;157,68;171,2;20933,5;28822,52;24018,92;198
2024-12;S03;2436,64;292,4;207,78;115,35;101,06;54,85;201,3;111,3;12621;3948,62;213,65;357,36;220,37;72,75;205,7;282,6;21160,13;35736;29780,13;232
2024-01;S04;3409,49;409,14;360,56;128,95;100,45;60,45;206,1;116,1;7341;1970,54;55,35;120;61,76;70,08;59,34;163,7;14469,31;11062,12;9218,44;93
2024-02;S04;3409,49;409,14;360,56;128,95;100,45;60,45;206,1;116,1;7341;1970,54;60,4;120;67,39;70,08;67,76;97,3;14488,41;12069,86;10058,19;91
2024-03;S04;3409,49;409,14;316,28;128,95;100,45;60,45;206,1;116,1;7341;1970,54;64,73;120;72,22;70,08;73,48;80,5;14459,01;12935,5;10779,59;99
2024-04;S04;3409,49;409,14;316,28;128,95;100,45;60,45;206,1;116,1;7341;1970,54;72,58;120;80,98;70,08;81,56;96,1;14483,7;14504,35;12086,95;109
2024-05;S04;3409,49;409,14;316,28;128,95;100,45;60,45;206,1;116,1;7341;1970,54;70,29;120;78,43;70,08;77,97;95,5;14475,27;14047,18;11705,9;107
2024-06;S04;3409,49;409,14;341,59;128,95;100,45;60,45;206,1;116,1;7341;1970,54;59,62;120;66,53;70,08;69,69;79,1;14469,73;11915,09;9929,26;89
2024-07;S04;3409,49;409,14;341,59;128,95;100,45;60,45;206,1;116,1;7341;1970,54;63,58;120;70,94;70,08;77,56;142,9;14485,97;12706,06;10588,38;94
2024-08;S04;3409,49;409,14;341,59;128,95;100,45;60,45;206,1;116,1;7341;1970,54;69,98;120;78,08;70,08;83,84;169,7;14505,79;13984,79;11653,99;97
2024-09;S04;3409,49;409,14;316,28;128,95;100,45;60,45;206,1;116,1;7341;1970,54;76,21;120;85,04;70,08;89,22;151,5;14499,05;15230,3;12691,95;114
2024-10;S04;3409,49;409,14;316,28;128,95;100,45;60,45;206,1;116,1;7341;1970,54;80,81;120;90,16;70,08;90,32;179,9;14509,87;16148,3;13456,87;116
2024-11;S04;3409,49;409,14;316,28;128,95;100,45;60,45;206,1;116,1;7341;1970,54;85,92;120;95,86;70,08;98,95;222,5;14529,31;17169,42;14307,86;128
2024-12;S04;3409,49;409,14;360,56;128,95;100,45;60,45;206,1;116,1;7341;1970,54;102,22;120;114,06;70,08;114,19;159,1;14623,33;20428,21;17023,5;151
2024-01;S05;2867,5;344,1;506,25;200,35;129,85;89,85;263,3;0;16498;5506,94;97,89;172;95,93;74,42;121,72;175,7;26968,1;26769,78;22308,2;220
2024-02;S05;2867,5;344,1;506,25;200,35;129,85;89,85;263,3;0;16498;5506,94;88,18;172;86,41;74,42;125,6;343,9;26952,75;24113,32;20094,44;196
2024-03;S05;2867,5;344,1;444,08;200,35;129,85;89,85;263,3;0;16498;5506,94;106,98;172;104,83;74,42;146,98;289,1;26949,18;29255,82;24379,88;222
2024-04;S05;2867,5;344,1;444,08;200,35;129,85;89,85;263,3;0;16498;5506,94;132,07;210,69;129,42;74,42;178,7;296;27069,27;36117,56;30098,01;274
2024-05;S05;2867,5;344,1;444,08;200,35;129,85;89,85;263,3;0;16498;5506,94;116,49;185,83;114,15;74,42;164,53;299,1;26999,39;31856,87;26547,41;236
2024-06;S05;2867,5;344,1;479,61;200,35;129,85;89,85;263,3;0;16498;5506,94;111,67;178,13;109,42;74,42;160,22;193,2;27013,36;30536,7;25447,27;230
2024-07;S05;2867,5;344,1;479,61;200,35;129,85;89,85;263,3;0;16498;5506,94;108,11;172,46;105,94;74,42;140,14;201,1;26980,57;29565,35;24637,82;217
2024-08;S05;2867,5;344,1;479,61;200,35;129,85;89,85;263,3;0;16498;5506,94;105,82;172;103,69;74,42;148,46;210,7;26983,89;28937,71;24114,79;223
2024-09;S05;2867,5;344,1;444,08;200,35;129,85;89,85;263,3;0;16498;5506,94;120,56;192,31;118,13;74,42;163,36;277;27012,75;32967,83;27473,21;246
2024-10;S05;2867,5;344,1;444,08;200,35;129,85;89,85;263,3;0;16498;5506,94;144,12;229,9;141,22;74,42;200,63;346;27134,26;39411,07;32842,54;308
2024-11;S05;2867,5;344,1;444,08;200,35;129,85;89,85;263,3;0;16498;5506,94;135,59;216,3;132,87;74,42;185,72;255;27088,87;37079,39;30899,64;274
2024-12;S05;2867,5;344,1;506,25;200,35;129,85;89,85;263,3;0;16498;5506,94;167,45;267,12;164,09;74,42;238,88;238,9;27318,1;45792,23;38160,21;348
2024-01;S06;2234,07;268,09;475,65;174,85;119,35;79,35;238,3;0;14660;4722,4;85,28;163;129,29;66,92;131,42;170,7;23547,97;23155,76;19296,41;187
2024-02;S06;2234,07;268,09;475,65;174,85;119,35;79,35;238,3;0;14660;4722,4;77,69;163;117,79;66,92;116,24;196,6;23513,7;21096,64;17580,48;171
2024-03;S06;2234,07;268,09;417,24;174,85;119,35;79,35;238,3;0;14660;4722,4;95,51;163;144,8;66,92;142,29;219,1;23526,17;25933,87;21611,49;205
2024-04;S06;2234,07;268,09;417,24;174,85;119,35;79,35;238,3;0;14660;4722,4;113,01;179;171,33;66,92;167;391;23610,91;30686,16;25571,74;231
2024-05;S06;2234,07;268,09;417,24;174,85;119,35;79,35;238,3;0;14660;4722,4;101,66;163;154,12;66,92;153,29;215,8;23552,64;27604,1;23003,35;210
2024-06;S06;2234,07;268,09;450,62;174,85;119,35;79,35;238,3;0;14660;4722,4;92,84;163;140,75;66,92;138,98;176,1;23549,52;25209,35;21007,67;183
2024-07;S06;2234,07;268,09;450,62;174,85;119,35;79,35;238,3;0;14660;4722,4;84,82;163;128,6;66,92;122,72;186,8;23513,09;23032,51;19193,68;182
2024-08;S06;2234,07;268,09;450,62;174,85;119,35;79,35;238,3;0;14660;4722,4;94,22;163;142,84;66,92;134,93;190,5;23548,94;25583,66;21319,63;205
2024-09;S06;2234,07;268,09;417,24;174,85;119,35;79,35;238,3;0;14660;4722,4;102,12;163;154,82;66,92;154,51;244,3;23555,02;27729,43;23107,79;224
2024-10;S06;2234,07;268,09;417,24;174,85;119,35;79,35;238,3;0;14660;4722,4;117,96;186,84;178,83;66,92;175,84;185;23640,04;32029,76;26691,36;248
2024-11;S06;2234,07;268,09;417,24;174,85;119,35;79,35;238,3;0;14660;4722,4;122,54;194,1;185,78;66,92;179,21;241,8;23662,2;33273,62;27727,9;262
2024-12;S06;2234,07;268,09;475,65;174,85;119,35;79,35;238,3;0;14660;4722,4;143,04;226,56;216,85;66,92;204,53;405,6;23829,96;38839,17;32365,84;312
