sale_id;line_id;date;time;store_id;store_type;zone;surface;open_to_clients_hours;open_days;foot_traffic_by_hour;employee_id;monthly_salary;hire_date;job_role;average_day_time_backoffice;average_day_time_frontoffice;customer_id;genre;age;has_loyalty_card;loyalty_points_used;loyalty_points_earned;product_id;product_kind;price_sold;tva_rate;price_ht;tva_amount;loyalty_discount_ttc;gross_price_ttc_before_loyalty;base_price;brand;category;model;size;color;is_best_seller
V000010;L0000011;2024-01-09;18:38;S01;Discount;Peripherie;160;9h/19h;open 5/7;35;E0004;1977;2021-01-02;Sales;0,11;0,89;C0269;M;32;true;0;11;P052;shoe;113;0,2;94,17;18,83;0;113;113;New Balance;Training;Pro;45;Electric Blue;false
V000011;L0000012;2024-01-09;09:19;S01;Discount;Peripherie;160;9h/19h;open 5/7;35;E0001;2734;2016-06-02;Sales;0,07;0,93;C0078;F;65;true;0;11;P055;shoe;111;0,2;92,5;18,5;0;111;111;Jordans;Casual;Air;45;Brown Bear;true
V000012;L0000013;2024-01-23;15:15;S01;Discount;Peripherie;160;9h/19h;open 5/7;35;E0003;2808;2013-12-16;Sales;0,1;0,9;C0148;M;20;true;220;5;P041;shoe;51,6;0,2;43;8,6;22;73,6;92;Jordans;Running;Zoom;38;Deep Purple;false
V000013;L0000014;2024-01-26;18:06;S01;Discount;Peripherie;160;9h/19h;open 5/7;35;E0001;2734;2016-06-02;Sales;0,07;0,93;C0017;M;44;true;0;18;P019;shoe;82,72;0,2;68,93;13,79;0;82,72;100;Reebok;Basketball;Pro;33;Light Green;false
V000013;L0000015;2024-01-26;18:06;S01;Discount;Peripherie;160;9h/19h;open 5/7;35;E0001;2734;2016-06-02;Sales;0,07;0,93;C0017;M;44;true;0;18;P045;shoe;100,34;0,2;83,62;16,72;0;100,34;100,34;Reebok;Training;Elite;33;Brown Bear;false
V000014;L0000016;2024-01-04;10:58;S01;Discount;Peripherie;160;9h/19h;open 5/7;35;E0005;2201;2016-03-11;Sales;0,19;0,81;C0147;M;40;true;0;9;P066;shoe;93,76;0,2;78,13;15,63;0;93,76;93,76;Reebok;Running;Elite;43;Black;false
V000015;L0000017;2024-01-11;11:17;S01;Discount;Peripherie;160;9h/19h;open 5/7;35;E0001;2734;2016-06-02;Sales;0,07;0,93;C0277;F;40;true;288;20;P037;shoe;63,2;0,2;52,67;10,53;28,8;92;92;New Balance;Running;Pro;42;Light Green;false
V000015;L0000018;2024-01-11;11:17;S01;Discount;Peripherie;160;9h/19h;open 5/7;35;E0001;2734;2016-06-02;Sales;0,07;0,93;C0277;F;40;true;288;20;P016;shoe;115,62;0,2;96,35;19,27;0;115,62;115,62;New Balance;Running;Flex;42;Premium Black;false
V000015;L0000019;2024-01-11;11:17;S01;Discount;Peripherie;160;9h/19h;open 5/7;35;E0001;2734;2016-06-02;Sales;0,07;0,93;C0277;F;40;true;288;20;A010;accessory;21,81;0,2;18,18;3,63;0;21,81;26,75;Accessoire;Casquette;Casquette;S;White;false
V000016;L0000020;2024-01-29;13:11;S01;Discount;Peripherie;160;9h/19h;open 5/7;35;E0003;2808;2013-12-16;Sales;0,1;0,9;C0086;M;28;true;0;17;P078;shoe;63,32;0,2;52,77;10,55;0;63,32;90,46;Reebok;Casual;Elite;32;Brown Bear;false
V000016;L0000021;2024-01-29;13:11;S01;Discount;Peripherie;160;9h/19h;open 5/7;35;E0003;2808;2013-12-16;Sales;0,1;0,9;C0086;M;28;true;0;17;P028;shoe;111;0,2;92,5;18,5;0;111;111;Reebok;Casual;Air;32;Gold;false
V000017;L0000022;2024-01-30;10:28;S01;Discount;Peripherie;160;9h/19h;open 5/7;35;E0006;2700;2008-06-18;Support;0,2;0,8;C0296;M;25;true;0;18;P005;shoe;95,08;0,2;79,23;15,85;0;95,08;95,08;Reebok;Trail;Air;32;White;false
V000017;L0000023;2024-01-30;10:28;S01;Discount;Peripherie;160;9h/19h;open 5/7;35;E0006;2700;2008-06-18;Support;0,2;0,8;C0296;M;25;true;0;18;P078;shoe;90,46;0,2;75,38;15,08;0;90,46;90,46;Reebok;Casual;Elite;32;Brown Bear;false
V000018;L0000024;2024-01-19;09:08;S01;Discount;Peripherie;160;9h/19h;open 5/7;35;E0002;2051;2020-08-10;Sales;0,13;0,87;C0269;M;32;true;0;24;P087;shoe;128;0,2;106,67;21,33;0;128;160;New Balance;Limited Edition;Flex;38;Black;false
V000018;L0000025;2024-01-19;09:08;S01;Discount;Peripherie;160;9h/19h;open 5/7;35;E0002;2051;2020-08-10;Sales;0,13;0,87;C0269;M;32;true;0;24;P031;shoe;112,8;0,2;94;18,8;0;112,8;112,8;New Balance;Trail;Max;38;Electric Blue;false
V000019;L0000026;2024-01-25;09:11;S01;Discount;Peripherie;160;9h/19h;open 5/7;35;E0003;2808;2013-12-16;Sales;0,1;0,9;C0092;F;44;false;0;0;P010;shoe;104,93;0,2;87,44;17,49;0;104,93;104,93;Reebok;Casual;Elite;33;Pink;false
V000019;L0000027;2024-01-25;09:11;S01;Discount;Peripherie;160;9h/19h;open 5/7;35;E0003;2808;2013-12-16;Sales;0,1;0,9;C0092;F;44;false;0;0;P045;shoe;80,27;0,2;66,89;13,38;0;80,27;100,34;Reebok;Training;Elite;33;Brown Bear;false
V000020;L0000028;2024-01-02;15:09;S01;Discount;Peripherie;160;9h/19h;open 5/7;35;E0005;2201;2016-03-11;Sales;0,19;0,81;C0269;M;32;true;0;10;P017;shoe;109,71;0,2;91,42;18,29;0;109,71;109,71;Reebok;Running;Elite;45;Classic Grey;false
V000021;L0000029;2024-01-22;16:44;S01;Discount;Peripherie;160;9h/19h;open 5/7;35;E0004;1977;2021-01-02;Sales;0,11;0,89;C0085;M;49;true;0;11;P035;shoe;111;0,2;92,5;18,5;0;111;111;Jordans;Casual;Elite;39;Red Blood;false
V000022;L0000030;2024-01-29;12:38;S01;Discount;Peripherie;160;9h/19h;open 5/7;35;E0006;2700;2008-06-18;Support;0,2;0,8;C0267;M;21;true;0;9;P043;shoe;96,25;0,2;80,21;16,04;0;96,25;113;New Balance;Training;Flex;44;Sunny Yellow;false
V000023;L0000031;2024-01-11;18:59;S01;Discount;Peripherie;160;9h/19h;open 5/7;35;E0001;2734;2016-06-02;Sales;0,07;0,93;C0342;F;40;true;149;7;P066;shoe;78,86;0,2;65,72;13,14;14,9;93,76;93,76;Reebok;Running;Elite;43;Black;false
V000024;L0000032;2024-01-11;15:12;S01;Discount;Peripherie;160;9h/19h;open 5/7;35;E0001;2734;2016-06-02;Sales;0,07;0,93;C0315;F;36;false;0;0;P034;shoe;104,07;0,2;86,72;17,35;0;104,07;114,32;Jordans;Trail;Flex;40;Pink;true
V000024;L0000033;2024-01-11;15:12;S01;Discount;Peripherie;160;9h/19h;open 5/7;35;E0001;2734;2016-06-02;Sales;0,07;0,93;C0315;F;36;false;0;0;A012;accessory;6,11;0,2;5,09;1,02;0;6,11;8,92;Accessoire;Lacets;Lacets;S;White;false
V000025;L0000034;2024-01-26;13:57;S01;Discount;Peripherie;160;9h/19h;open 5/7;35;E0001;2734;2016-06-02;Sales;0,07;0,93;C0138;M;40;true;0;11;P082;shoe;90,46;0,2;75,38;15,08;0;90,46;90,46;Jordans;Casual;Air;40;Deep Blue;false
V000025;L0000035;2024-01-26;13:57;S01;Discount;Peripherie;160;9h/19h;open 5/7;35;E0001;2734;2016-06-02;Sales;0,07;0,93;C0138;M;40;true;0;11;A009;accessory;23,43;0,2;19,53;3,9;0;23,43;26,75;Accessoire;Tee-shirt;Tee-shirt;XL;Classic Grey;false
V000026;L0000036;2024-01-17;09:55;S01;Discount;Peripherie;160;9h/19h;open 5/7;35;E0001;2734;2016-06-02;Sales;0,07;0,93;C0169;F;43;true;246;5;P029;shoe;57,46;0,2;47,88;9,58;24,6;82,06;92;New Balance;Running;Pro;41;Deep Blue;false
V000027;L0000037;2024-01-18;10:09;S01;Discount;Peripherie;160;9h/19h;open 5/7;35;E0003;2808;2013-12-16;Sales;0,1;0,9;C0297;F;39;true;0;23;P017;shoe;109,71;0,2;91,42;18,29;0;109,71;109,71;Reebok;Running;Elite;45;Classic Grey;false
V000027;L0000038;2024-01-18;10:09;S01;Discount;Peripherie;160;9h/19h;open 5/7;35;E0003;2808;2013-12-16;Sales;0,1;0,9;C0297;F;39;true;0;23;P063;shoe;120,9;0,2;100,75;20,15;0;120,9;120,9;Reebok;Basketball;Elite;45;Black;false
V000028;L0000039;2024-01-24;17:21;S01;Discount;Peripherie;160;9h/19h;open 5/7;35;E0002;2051;2020-08-10;Sales;0,13;0,87;C0060;M;37;true;0;9;P054;shoe;96,34;0,2;80,28;16,06;0;96,34;118;Jordans;Trail;Air;37;Premium Black;true
V000029;L0000040;2024-01-03;10:38;S01;Discount;Peripherie;160;9h/19h;open 5/7;35;E0005;2201;2016-03-11;Sales;0,19;0,81;C0308;M;31;false;0;0;P028;shoe;111;0,2;92,5;18,5;0;111;111;Reebok;Casual;Air;32;Gold;false
V000030;L0000041;2024-01-05;14:15;S01;Discount;Peripherie;160;9h/19h;open 5/7;35;E0001;2734;2016-06-02;Sales;0,07;0,93;C0293;F;16;true;269;8;P034;shoe;87,42;0,2;72,85;14,57;26,9;114,32;114,32;Jordans;Trail;Flex;40;Pink;true
V000031;L0000042;2024-01-31;15:02;S01;Discount;Peripherie;160;9h/19h;open 5/7;35;E0002;2051;2020-08-10;Sales;0,13;0,87;C0095;M;30;false;0;0;P087;shoe;160;0,2;133,33;26,67;0;160;160;New Balance;Limited Edition;Flex;38;Black;false
V000031;L0000043;2024-01-31;15:02;S01;Discount;Peripherie;160;9h/19h;open 5/7;35;E0002;2051;2020-08-10;Sales;0,13;0,87;C0095;M;30;false;0;0;P031;shoe;112,8;0,2;94;18,8;0;112,8;112,8;New Balance;Trail;Max;38;Electric Blue;false
V000032;L0000044;2024-01-12;13:14;S01;Discount;Peripherie;160;9h/19h;open 5/7;35;E0002;2051;2020-08-10;Sales;0,13;0,87;C0312;M;22;true;0;20;P034;shoe;114,32;0,2;95,27;19,05;0;114,32;114,32;Jordans;Trail;Flex;40;Pink;true
V000032;L0000045;2024-01-12;13:14;S01;Discount;Peripherie;160;9h/19h;open 5/7;35;E0002;2051;2020-08-10;Sales;0,13;0,87;C0312;M;22;true;0;20;P082;shoe;90,46;0,2;75,38;15,08;0;90,46;90,46;Jordans;Casual;Air;40;Deep Blue;false
V000033;L0000046;2024-01-03;13:58;S01;Discount;Peripherie;160;9h/19h;open 5/7;35;E0001;2734;2016-06-02;Sales;0,07;0,93;C0067;M;33;false;0;0;P035;shoe;77,7;0,2;64,75;12,95;0;77,7;111;Jordans;Casual;Elite;39;Red Blood;false
V000034;L0000047;2024-01-18;11:02;S01;Discount;Peripherie;160;9h/19h;open 5/7;35;E0003;2808;2013-12-16;Sales;0,1;0,9;C0416;F;30;true;0;10;P007;shoe;109,21;0,2;91,01;18,2;0;109,21;109,21;Jordans;Training;Flex;32;Deep Blue;false
V000035;L0000048;2024-01-22;10:42;S01;Discount;Peripherie;160;9h/19h;open 5/7;35;E0001;2734;2016-06-02;Sales;0,07;0,93;C0059;M;45;false;0;0;P082;shoe;72,37;0,2;60,31;12,06;0;72,37;90,46;Jordans;Casual;Air;40;Deep Blue;false
V000036;L0000049;2024-01-30;09:02;S01;Discount;Peripherie;160;9h/19h;open 5/7;35;E0006;2700;2008-06-18;Support;0,2;0,8;C0162;F;29;true;0;11;P004;shoe;111;0,2;92,5;18,5;0;111;111;Reebok;Casual;Pro;44;Premium Black;false
V000037;L0000050;2024-01-29;16:31;S01;Discount;Peripherie;160;9h/19h;open 5/7;35;E0004;1977;2021-01-02;Sales;0,11;0,89;C0322;M;38;true;0;11;P016;shoe;115,62;0,2;96,35;19,27;0;115,62;115,62;New Balance;Running;Flex;42;Premium Black;false
V000038;L0000051;2024-01-08;18:08;S01;Discount;Peripherie;160;9h/19h;open 5/7;35;E0003;2808;2013-12-16;Sales;0,1;0,9;C0134;M;44;true;0;10;P035;shoe;83,25;0,2;69,38;13,87;0;83,25;111;Jordans;Casual;Elite;39;Red Blood;false
V000038;L0000052;2024-01-08;18:08;S01;Discount;Peripherie;160;9h/19h;open 5/7;35;E0003;2808;2013-12-16;Sales;0,1;0,9;C0134;M;44;true;0;10;A010;accessory;24,47;0,2;20,39;4,08;0;24,47;26,75;Accessoire;Casquette;Casquette;S;White;false
V000039;L0000053;2024-01-10;15:55;S01;Discount;Peripherie;160;9h/19h;open 5/7;35;E0001;2734;2016-06-02;Sales;0,07;0,93;C0331;F;33;true;0;13;P008;shoe;113;0,2;94,17;18,83;0;113;113;Reebok;Training;Max;42;White;true
V000039;L0000054;2024-01-10;15:55;S01;Discount;Peripherie;160;9h/19h;open 5/7;35;E0001;2734;2016-06-02;Sales;0,07;0,93;C0331;F;33;true;0;13;A006;accessory;17,83;0,2;14,86;2,97;0;17,83;22,29;Accessoire;Tee-shirt;Tee-shirt;L;Black;false
V000040;L0000055;2024-01-29;14:25;S01;Discount;Peripherie;160;9h/19h;open 5/7;35;E0004;1977;2021-01-02;Sales;0,11;0,89;C0090;F;47;false;0;0;P052;shoe;113;0,2;94,17;18,83;0;113;113;New Balance;Training;Pro;45;Electric Blue;false
V000041;L0000056;2024-01-03;09:53;S01;Discount;Peripherie;160;9h/19h;open 5/7;35;E0003;2808;2013-12-16;Sales;0,1;0,9;C0410;M;46;true;0;9;P037;shoe;92;0,2;76,67;15,33;0;92;92;New Balance;Running;Pro;42;Light Green;false
V000042;L0000057;2024-01-03;11:15;S01;Discount;Peripherie;160;9h/19h;open 5/7;35;E0001;2734;2016-06-02;Sales;0,07;0,93;C0364;M;26;true;0;17;P034;shoe;114,32;0,2;95,27;19,05;0;114,32;114,32;Jordans;Trail;Flex;40;Pink;true
V000042;L0000058;2024-01-03;11:15;S01;Discount;Peripherie;160;9h/19h;open 5/7;35;E0001;2734;2016-06-02;Sales;0,07;0,93;C0364;M;26;true;0;17;P082;shoe;63,32;0,2;52,77;10,55;0;63,32;90,46;Jordans;Casual;Air;40;Deep Blue;false
V000043;L0000059;2024-01-22;10:38;S01;Discount;Peripherie;160;9h/19h;open 5/7;35;E0005;2201;2016-03-11;Sales;0,19;0,81;C0249;F;16;true;0;9;P041;shoe;92;0,2;76,67;15,33;0;92;92;Jordans;Running;Zoom;38;Deep Purple;false
V000044;L0000060;2024-01-17;13:43;S01;Discount;Peripherie;160;9h/19h;open 5/7;35;E0002;2051;2020-08-10;Sales;0,13;0,87;C0071;M;27;false;0;0;P086;shoe;100;0,2;83,33;16,67;0;100;100;New Balance;Basketball;Flex;32;Deep Blue;true
V000044;L0000061;2024-01-17;13:43;S01;Discount;Peripherie;160;9h/19h;open 5/7;35;E0002;2051;2020-08-10;Sales;0,13;0,87;C0071;M;27;false;0;0;A011;accessory;33,16;0,2;27,63;5,53;0;33,16;35,67;Accessoire;Casquette;Casquette;L;White;false
V000045;L0000062;2024-01-11;13:04;S01;Discount;Peripherie;160;9h/19h;open 5/7;35;E0003;2808;2013-12-16;Sales;0,1;0,9;C0316;M;50;true;0;11;P055;shoe;111;0,2;92,5;18,5;0;111;111;Jordans;Casual;Air;45;Brown Bear;true
V000046;L0000063;2024-01-31;15:30;S01;Discount;Peripherie;160;9h/19h;open 5/7;35;E0002;2051;2020-08-10;Sales;0,13;0,87;C0164;F;38;false;0;0;P041;shoe;64,4;0,2;53,67;10,73;0;64,4;92;Jordans;Running;Zoom;38;Deep Purple;false
V000047;L0000064;2024-01-16;18:49;S01;Discount;Peripherie;160;9h/19h;open 5/7;35;E0001;2734;2016-06-02;Sales;0,07;0,93;C0371;F;25;true;0;14;P076;shoe;149,39;0,2;124,49;24,9;0;149,39;149,39;Jordans;Limited Edition;Zoom;33;Deep Blue;false
V000048;L0000065;2024-01-09;13:12;S01;Discount;Peripherie;160;9h/19h;open 5/7;35;E0005;2201;2016-03-11;Sales;0,19;0,81;C0084;F;19;true;0;14;P076;shoe;149,39;0,2;124,49;24,9;0;149,39;149,39;Jordans;Limited Edition;Zoom;33;Deep Blue;false
V000049;L0000066;2024-01-23;15:26;S01;Discount;Peripherie;160;9h/19h;open 5/7;35;E0001;2734;2016-06-02;Sales;0,07;0,93;C0026;M;27;false;0;0;P008;shoe;113;0,2;94,17;18,83;0;113;113;Reebok;Training;Max;42;White;true
V000050;L0000067;2024-01-23;15:50;S01;Discount;Peripherie;160;9h/19h;open 5/7;35;E0003;2808;2013-12-16;Sales;0,1;0,9;C0005;F;46;true;0;8;P012;shoe;89;0,2;74,17;14,83;0;89;89;Reebok;Training;Air;31;Black;true
V000051;L0000068;2024-01-31;11:22;S01;Discount;Peripherie;160;9h/19h;open 5/7;35;E0002;2051;2020-08-10;Sales;0,13;0,87;C0251;M;34;true;0;8;P058;shoe;81,41;0,2;67,84;13,57;0;81,41;94;Jordans;Trail;Elite;31;Sunny Yellow;false
V000052;L0000069;2024-01-23;17:28;S01;Discount;Peripherie;160;9h/19h;open 5/7;35;E0003;2808;2013-12-16;Sales;0,1;0,9;C0218;F;16;false;0;0;P049;shoe;100;0,2;83,33;16,67;0;100;100;New Balance;Basketball;Air;30;Sunny Yellow;false
V000053;L0000070;2024-01-01;11:48;S01;Discount;Peripherie;160;9h/19h;open 5/7;35;E0002;2051;2020-08-10;Sales;0,13;0,87;C0331;F;33;true;0;11;P004;shoe;111;0,2;92,5;18,5;0;111;111;Reebok;Casual;Pro;44;Premium Black;false
V000054;L0000071;2024-01-01;12:33;S01;Discount;Peripherie;160;9h/19h;open 5/7;35;E0005;2201;2016-03-11;Sales;0,19;0,81;C0136;M;35;true;0;8;P012;shoe;89;0,2;74,17;14,83;0;89;89;Reebok;Training;Air;31;Black;true
V000055;L0000072;2024-01-18;15:01;S01;Discount;Peripherie;160;9h/19h;open 5/7;35;E0004;1977;2021-01-02;Sales;0,11;0,89;C0383;F;51;false;0;0;P005;shoe;95,08;0,2;79,23;15,85;0;95,08;95,08;Reebok;Trail;Air;32;White;false
V000055;L0000073;2024-01-18;15:01;S01;Discount;Peripherie;160;9h/19h;open 5/7;35;E0004;1977;2021-01-02;Sales;0,11;0,89;C0383;F;51;false;0;0;P078;shoe;90,46;0,2;75,38;15,08;0;90,46;90,46;Reebok;Casual;Elite;32;Brown Bear;false
V000056;L0000074;2024-01-26;18:13;S01;Discount;Peripherie;160;9h/19h;open 5/7;35;E0002;2051;2020-08-10;Sales;0,13;0,87;C0416;F;30;true;0;18;P058;shoe;94;0,2;78,33;15,67;0;94;94;Jordans;Trail;Elite;31;Sunny Yellow;false
V000056;L0000075;2024-01-26;18:13;S01;Discount;Peripherie;160;9h/19h;open 5/7;35;E0002;2051;2020-08-10;Sales;0,13;0,87;C0416;F;30;true;0;18;P040;shoe;92;0,2;76,67;15,33;0;92;92;Jordans;Running;Max;31;Red Blood;false
V000057;L0000076;2024-01-02;15:06;S01;Discount;Peripherie;160;9h/19h;open 5/7;35;E0004;1977;2021-01-02;Sales;0,11;0,89;C0196;M;50;false;0;0;P004;shoe;111;0,2;92,5;18,5;0;111;111;Reebok;Casual;Pro;44;Premium Black;false
V000058;L0000077;2024-01-16;11:40;S01;Discount;Peripherie;160;9h/19h;open 5/7;35;E0001;2734;2016-06-02;Sales;0,07;0,93;C0287;M;43;false;0;0;P086;shoe;95;0,2;79,17;15,83;0;95;100;New Balance;Basketball;Flex;32;Deep Blue;true
V000059;L0000078;2024-01-18;12:20;S01;Discount;Peripherie;160;9h/19h;open 5/7;35;E0002;2051;2020-08-10;Sales;0,13;0,87;C0392;F;38;true;0;11;P008;shoe;113;0,2;94,17;18,83;0;113;113;Reebok;Training;Max;42;White;true
V000060;L0000079;2024-01-09;14:06;S01;Discount;Peripherie;160;9h/19h;open 5/7;35;E0001;2734;2016-06-02;Sales;0,07;0,93;C0332;F;22;false;0;0;P020;shoe;160;0,2;133,33;26,67;0;160;160;New Balance;Limited Edition;Zoom;39;Electric Blue;false
V000061;L0000080;2024-01-11;14:43;S01;Discount;Peripherie;160;9h/19h;open 5/7;35;E0001;2734;2016-06-02;Sales;0,07;0,93;C0350;F;24;true;0;14;P076;shoe;149,39;0,2;124,49;24,9;0;149,39;149,39;Jordans;Limited Edition;Zoom;33;Deep Blue;false
V000062;L0000081;2024-01-29;13:02;S01;Discount;Peripherie;160;9h/19h;open 5/7;35;E0005;2201;2016-03-11;Sales;0,19;0,81;C0350;F;24;true;0;14;P076;shoe;149,39;0,2;124,49;24,9;0;149,39;149,39;Jordans;Limited Edition;Zoom;33;Deep Blue;false
V000063;L0000082;2024-01-10;15:58;S01;Discount;Peripherie;160;9h/19h;open 5/7;35;E0001;2734;2016-06-02;Sales;0,07;0,93;C0338;M;19;true;0;18;P020;shoe;160;0,2;133,33;26,67;0;160;160;New Balance;Limited Edition;Zoom;39;Electric Blue;false
V000063;L0000083;2024-01-10;15:58;S01;Discount;Peripherie;160;9h/19h;open 5/7;35;E0001;2734;2016-06-02;Sales;0,07;0,93;C0338;M;19;true;0;18;A010;accessory;26,75;0,2;22,29;4,46;0;26,75;26,75;Accessoire;Casquette;Casquette;S;White;false
V000064;L0000084;2024-01-08;15:06;S01;Discount;Peripherie;160;9h/19h;open 5/7;35;E0002;2051;2020-08-10;Sales;0,13;0,87;C0277;F;40;true;0;11;P054;shoe;118;0,2;98,33;19,67;0;118;118;Jordans;Trail;Air;37;Premium Black;true
V000065;L0000085;2024-01-04;12:37;S01;Discount;Peripherie;160;9h/19h;open 5/7;35;E0004;1977;2021-01-02;Sales;0,11;0,89;C0081;M;23;true;0;7;P062;shoe;75,62;0,2;63,02;12,6;0;75,62;108,03;Reebok;Training;Zoom;31;Gold;false
V000066;L0000086;2024-01-31;15:52;S01;Discount;Peripherie;160;9h/19h;open 5/7;35;E0001;2734;2016-06-02;Sales;0,07;0,93;C0300;F;38;true;0;8;P024;shoe;85,42;0,2;71,18;14,24;0;85,42;102,46;New Balance;Trail;Zoom;40;Classic Grey;false
V000067;L0000087;2024-01-09;10:08;S01;Discount;Peripherie;160;9h/19h;open 5/7;35;E0004;1977;2021-01-02;Sales;0,11;0,89;C0379;M;48;true;0;14;P076;shoe;149,39;0,2;124,49;24,9;0;149,39;149,39;Jordans;Limited Edition;Zoom;33;Deep Blue;false
V000068;L0000088;2024-01-16;18:05;S01;Discount;Peripherie;160;9h/19h;open 5/7;35;E0001;2734;2016-06-02;Sales;0,07;0,93;C0134;M;44;true;0;13;P076;shoe;134,45;0,2;112,04;22,41;0;134,45;149,39;Jordans;Limited Edition;Zoom;33;Deep Blue;false
V000069;L0000089;2024-01-19;13:21;S01;Discount;Peripherie;160;9h/19h;open 5/7;35;E0003;2808;2013-12-16;Sales;0,1;0,9;C0304;M;50;true;143;22;P058;shoe;79,7;0,2;66,42;13,28;14,3;94;94;Jordans;Trail;Elite;31;Sunny Yellow;false
V000069;L0000090;2024-01-19;13:21;S01;Discount;Peripherie;160;9h/19h;open 5/7;35;E0003;2808;2013-12-16;Sales;0,1;0,9;C0304;M;50;true;143;22;P040;shoe;92;0,2;76,67;15,33;0;92;92;Jordans;Running;Max;31;Red Blood;false
V000069;L0000091;2024-01-19;13:21;S01;Discount;Peripherie;160;9h/19h;open 5/7;35;E0003;2808;2013-12-16;Sales;0,1;0,9;C0304;M;50;true;143;22;A005;accessory;25,41;0,2;21,18;4,23;0;25,41;26,75;Accessoire;Casquette;Casquette;S;Deep Blue;false
V000069;L0000092;2024-01-19;13:21;S01;Discount;Peripherie;160;9h/19h;open 5/7;35;E0003;2808;2013-12-16;Sales;0,1;0,9;C0304;M;50;true;143;22;A005;accessory;26,75;0,2;22,29;4,46;0;26,75;26,75;Accessoire;Casquette;Casquette;S;Deep Blue;false
V000070;L0000093;2024-01-19;17:19;S01;Discount;Peripherie;160;9h/19h;open 5/7;35;E0003;2808;2013-12-16;Sales;0,1;0,9;C0394;F;35;true;0;11;P054;shoe;118;0,2;98,33;19,67;0;118;118;Jordans;Trail;Air;37;Premium Black;true
V000071;L0000094;2024-01-05;17:52;S01;Discount;Peripherie;160;9h/19h;open 5/7;35;E0004;1977;2021-01-02;Sales;0,11;0,89;C0027;M;34;false;0;0;P052;shoe;113;0,2;94,17;18,83;0;113;113;New Balance;Training;Pro;45;Electric Blue;false
V000072;L0000095;2024-01-22;18:21;S01;Discount;Peripherie;160;9h/19h;open 5/7;35;E0005;2201;2016-03-11;Sales;0,19;0,81;C0229;F;35;true;0;11;P034;shoe;114,32;0,2;95,27;19,05;0;114,32;114,32;Jordans;Trail;Flex;40;Pink;true
