product_id;product_kind;brand;model;category;color;size;base_price;is_best_seller
P077;shoe;Adidas;Pro;Casual;Deep Purple;40;139;false
P078;shoe;Reebok;Elite;Casual;Brown Bear;32;85;false
P079;shoe;Puma;Pro;Trail;Sunny Yellow;43;129;false
P080;shoe;Reebok;Elite;Limited Edition;Deep Blue;39;279,72;true
P081;shoe;Puma;Zoom;Limited Edition;Classic Grey;36;195;false
P082;shoe;Jordans;Air;Casual;Deep Blue;40;85;false
P083;shoe;Asics;Air;Trail;Premium Black;35;154;false
P084;shoe;Puma;Zoom;Basketball;Brown Bear;39;145;false
P085;shoe;Puma;Elite;Training;Light Green;30;54;false
P086;shoe;New Balance;Flex;Basketball;Deep Blue;32;37,8;true
P087;shoe;New Balance;Flex;Limited Edition;Black;38;259;false
P088;shoe;Adidas;Max;Basketball;Black;32;134;false
A001;accessory;Accessoire;Sac de sport;Sac de sport;Black;S;40;false
A002;accessory;Accessoire;Bonnet;Bonnet;Classic Grey;M;35;false
A003;accessory;Accessoire;Sac de sport;Sac de sport;Classic Grey;L;15;false
A004;accessory;Accessoire;Lacets;Lacets;Classic Grey;L;20;false
A005;accessory;Accessoire;Casquette;Casquette;Deep Blue;S;30;false
A006;accessory;Accessoire;Tee-shirt;Tee-shirt;Black;L;25;false
A007;accessory;Accessoire;Chaussettes;Chaussettes;Classic Grey;L;20;false
A008;accessory;Accessoire;Bonnet;Bonnet;Classic Grey;XL;20;false
A009;accessory;Accessoire;Tee-shirt;Tee-shirt;Classic Grey;XL;30;false
A010;accessory;Accessoire;Casquette;Casquette;White;S;30;false
A011;accessory;Accessoire;Casquette;Casquette;White;L;40;false
A012;accessory;Accessoire;Lacets;Lacets;White;S;10;false
